260|a	Geocode Location
Dover [N.H.] :	Dover, New Hampshire
Dover [N.H.]: :	Dover, New Hampshire
Printed at Dover, (N.H.) :	Dover, New Hampshire
Printed at Dover, New-Hampshire :	Dover, New Hampshire
Printed at Dover [N.H.]	Dover, New Hampshire
Printed at Dover [N.H.], :	Dover, New Hampshire
Printed at Dover [N.H.] :	Dover, New Hampshire
[Dumfries, Va. :	Dumfries, Virginia
[Easthampton, Massachusetts?	Easthampton, Massachusetts
[Easton, Md.? :	Easton, Maryland
Easton [Md.]: :	Easton, Maryland
[East Windsor, Conn.,	East Windsor, Connecticut
Printed at East-Windsor [Conn.], :	East Windsor, Connecticut
[Edenton, N.C. :	Edenton, North Carolina
[Edenton, N.C.? :	Edenton, North Carolina
Edenton [N.C.] :	Edenton, North Carolina
[Elizabeth, N.J. :	Elizabeth, New Jersey
[Elizabethtown, N.J.] :	Elizabethtown, New Jersey
Elizabeth-town,	Elizabethtown, New Jersey
Elizabeth-Town, (New-Jersey) :	Elizabethtown, New Jersey
Elizabeth-Town, [N.J.]: :	Elizabethtown, New Jersey
Elizabethtown :	Elizabethtown, New Jersey
Elizabeth Town: :	Elizabethtown, New Jersey
Elizabethtown [Elizabeth, N.J.] :	Elizabethtown, New Jersey
Elizabeth Town [Elizabeth, N.J.] :	Elizabethtown, New Jersey
Elizabethtown [N.J.] :	Elizabethtown, New Jersey
Elizabeth Town [N.J.] :	Elizabethtown, New Jersey
Elizabeth-town [N.J.] :	Elizabethtown, New Jersey
Elizabeth-Town [N.J.] :	Elizabethtown, New Jersey
Elizabeth-Town [N.J.]: :	Elizabethtown, New Jersey
[Ephrata, Pa. :	Ephrata, Pennsylvania
[Ephrata, Pa.? :	Ephrata, Pennsylvania
[Ephrata :	Ephrata, Pennsylvania
[Ephrata?] :	Ephrata, Pennsylvania
[Ephrata] :	Ephrata, Pennsylvania
Efrata, im Jahr des Heils, 1745. :	Ephrata, Pennsylvania
Ephrat¾ :	Ephrata, Pennsylvania
Ephrat¾ [Pa.] :	Ephrata, Pennsylvania
Ephrata, :	Ephrata, Pennsylvania
Ephrata, in Peusylvanien [sic], :	Ephrata, Pennsylvania
Ephrata, Pa. :	Ephrata, Pennsylvania
Ephrata :	Ephrata, Pennsylvania
Ephrata. :	Ephrata, Pennsylvania
Ephrata [Pa.], :	Ephrata, Pennsylvania
Ephrata [Pa.] :	Ephrata, Pennsylvania
Ephrata [Pa.]: :	Ephrata, Pennsylvania
Ephrata in Pennsylvania. :	Ephrata, Pennsylvania
Ephrata in Pennsylvanien. :	Ephrata, Pennsylvania
Ephrata in Pensylvanien :	Ephrata, Pennsylvania
[Exeter, N.H. :	Exeter, New Hampshire
[Exeter, N.H.?	Exeter, New Hampshire
[Exeter, N.H.? :	Exeter, New Hampshire
[Exeter, N.H.] :	Exeter, New Hampshire
[Exeter] :	Exeter, New Hampshire
[Exeter] New-Hampshire :	Exeter, New Hampshire
[Exeter] State of New-Hampshire: :	Exeter, New Hampshire
Exeter, [N.H.]	Exeter, New Hampshire
Exeter, [N.H.] :	Exeter, New Hampshire
Exeter, N.H.,	Exeter, New Hampshire
Exeter, New-Hampshire :	Exeter, New Hampshire
Exeter [N. H.]	Exeter, New Hampshire
Exeter [N.H.] :	Exeter, New Hampshire
Exeter [N.H.]: :	Exeter, New Hampshire
New-Hampshire,	Exeter, New Hampshire
New-Hampshire :	Exeter, New Hampshire
New-Hampshire: Exeter, :	Exeter, New Hampshire
Printed at Exeter, [N.H.] :	Exeter, New Hampshire
Printed at Exeter, Newhampshire,	Exeter, New Hampshire
Printed at Exeter, NewHampshire, :	Exeter, New Hampshire
Printed at Exeter, Newhampshire :	Exeter, New Hampshire
Printed at Exeter, New-Hampshire :	Exeter, New Hampshire
Printed at Exeter [N.H.], :	Exeter, New Hampshire
Printed at Exeter [N.H.] :	Exeter, New Hampshire
Printed at Exeter [N.H.]: :	Exeter, New Hampshire
Fairfield [Conn.] :	Fairfield, Connecticut
Fairfield [Conn] :	Fairfield, Connecticut
[Fairhaven, Vt.] :	Fair Haven, Vermont
Fairhaven [Vt.] :	Fair Haven, Vermont
Farmington, Conn.]	Farmington, Connecticut
[Fishkill, N.Y. :	Fishkill, New York
Fish-kill [N.Y.] :	Fishkill, New York
Fish-Kill [N.Y.] :	Fishkill, New York
[Fort-de-France, Martinique :	Fort-de-France, Martinique
[Frankfort, Ky. :	Frankfort, Kentucky
Frankfort [Ky.] :	Frankfort, Kentucky
Frederick Town [Md.]	Frederick, Maryland
Frederick-Town [Md.] :	Frederick, Maryland
Friederich-Stadt [i.e. Frederick, Md.] :	Frederick, Maryland
Friederich-Stadt [Md.] :	Frederick, Maryland
[Fredericktown, Md.? :	Fredericktown, Maryland
[Fredericktown, Md.] :	Fredericktown, Maryland
Printed at Fryeburg [Me.] :	Fryeburg, Maine
Gainsborough,	Gainsborough, Tennessee
Printed at Geneva, New-York, :	Geneva, New York
[Germanton] :	Germantown, Pennsylvania
[Germantown, Pa.] :	Germantown, Pennsylvania
[Germantown, Penn. :	Germantown, Pennsylvania
Germantaun,	Germantown, Pennsylvania
Germantaun, :	Germantown, Pennsylvania
Germantaun:	Germantown, Pennsylvania
Germantaun :	Germantown, Pennsylvania
Germantaun. :	Germantown, Pennsylvania
Germantaun (Pa.)	Germantown, Pennsylvania
Germantaun [Germantown, Pa.] :	Germantown, Pennsylvania
Germantaun [Pa.]	Germantown, Pennsylvania
Germantaun [Pa.],	Germantown, Pennsylvania
Germantaun [Pa.] :	Germantown, Pennsylvania
Germantaun [Pa.]: :	Germantown, Pennsylvania
Germanton,	Germantown, Pennsylvania
Germanton, :	Germantown, Pennsylvania
Germanton :	Germantown, Pennsylvania
Germanton [Pa.] :	Germantown, Pennsylvania
Germanton [Philadelphia]	Germantown, Pennsylvania
Germantown,	Germantown, Pennsylvania
Germantown, :	Germantown, Pennsylvania
Germantown, (Pa) :	Germantown, Pennsylvania
Germantown:	Germantown, Pennsylvania
Germantown :	Germantown, Pennsylvania
Germantown: :	Germantown, Pennsylvania
Germantown [Pa.], :	Germantown, Pennsylvania
Germantown [Pa.] :	Germantown, Pennsylvania
Germantown [Pa.]: :	Germantown, Pennsylvania
Germantown [Penn.] :	Germantown, Pennsylvania
Germantown [Penn.]: :	Germantown, Pennsylvania
Solingen, dass erstemal herausgegeben, und nun in Germantaun, :	Germantown, Pennsylvania
Printed at Gilmanton [N.H.], :	Gilmanton, New Hampshire
Goshen [N. Y.]	Goshen, New York
Goshen [N.Y.] :	Goshen, New York
Goshen [N.Y.]: :	Goshen, New York
[Granville, Mass.? :	Granville, Massachusetts
[Greenfield] :	Greenfield, Massachusetts
Greenfield, (Mass.) :	Greenfield, Massachusetts
Greenfield, (Massachusetts:)	Greenfield, Massachusetts
Greenfield, (Massachusetts:) :	Greenfield, Massachusetts
Greenfield, Massachusetts,	Greenfield, Massachusetts
Greenfield [Mass.]: :	Greenfield, Massachusetts
Printed at Greenfield, (Massachusetts) :	Greenfield, Massachusetts
Printed at Greenfield, Massachusetts, :	Greenfield, Massachusetts
Printed at Greenfield, Massachusetts :	Greenfield, Massachusetts
Printed at Greenfield, Massachusetts. :	Greenfield, Massachusetts
Printed at Greenfield [Mass.], :	Greenfield, Massachusetts
[Guadalajara? :	Guadalajara, Mexico
[Guadalajara?] :	Guadalajara, Mexico
Guadalaxara :	Guadalajara, Mexico
Impreso en Guadalaxara, :	Guadalajara, Mexico
Reimpresa en Guadalaxara, :	Guadalajara, Mexico
Reimpreso en Guadalaxara :	Guadalajara, Mexico
A la Guadeloupe :	Guadeloupe, Guadeloupe
[Guatemala City :	Guatemala City, Guatemala
[Halifax, N.C.? :	Halifax, North Carolina
Halifax [N.C.] :	Halifax, North Carolina
[Halifax, N.S. :	Halifax, Nova Scotia
[Halifax, N.S.? :	Halifax, Nova Scotia
Halifax	Halifax, Nova Scotia
Halifax, :	Halifax, Nova Scotia
Halifax, in Nova Scotia :	Halifax, Nova Scotia
Halifax :	Halifax, Nova Scotia
Halifax [N.S.] :	Halifax, Nova Scotia
Halifax [N.S.]: :	Halifax, Nova Scotia
[Hallowell, Me.] :	Hallowell, Maine
Hallowell, (District of Maine,) :	Hallowell, Maine
Hallowell, (District of Maine) :	Hallowell, Maine
Hallowell (District of Maine) :	Hallowell, Maine
Hallowell (Maine)	Hallowell, Maine
Hallowell [Me.] :	Hallowell, Maine
Printed at Hallowell, Hook, [Me.] :	Hallowell, Maine
Printed at Hallowell, Hook [Me.], :	Hallowell, Maine
Printed at the Hook, Hallowell [Me.], :	Hallowell, Maine
Printed at the Hook, Hallowell [Me.] :	Hallowell, Maine
[Dresden, Vt., i.e., Hanover, N.H. :	Hanover, New Hampshire
[Dresden, Vt., i.e., Hanover, N.H.] :	Hanover, New Hampshire
[Dresden, Vt.  i.e., Hanover, N.H. :	Hanover, New Hampshire
[Hanover, N.H.? :	Hanover, New Hampshire
[Hanover, N.H.] :	Hanover, New Hampshire
[Hanover] :	Hanover, New Hampshire
Dresden, State of Vermont [i.e., Hanover, N.H.]: :	Hanover, New Hampshire
Dresden [Vt.] :	Hanover, New Hampshire
Hanover, (N.H.) :	Hanover, New Hampshire
Hanover, New-Hampshire, :	Hanover, New Hampshire
Hanover [N.H.] :	Hanover, New Hampshire
Printed, at Hanover, New-Hampshire :	Hanover, New Hampshire
Printed at Hanover, Newhampshire :	Hanover, New Hampshire
Printed at Hanover [N.H.], :	Hanover, New Hampshire
Printed at Hanover [N.H.] :	Hanover, New Hampshire
Hannover :	Hanover, Pennsylvania
Hanover (M'Alister's Stadt) [Pa.]: :	Hanover, Pennsylvania
[Harrisburg, Pa. :	Harrisburg, Pennsylvania
[Harrisburgh] :	Harrisburg, Pennsylvania
Printed at Harrisburgh [Pa.] :	Harrisburg, Pennsylvania
[Hartford,	Hartford, Connecticut
[Hartford, Conn.,	Hartford, Connecticut
[Hartford, Conn. :	Hartford, Connecticut
[Hartford, Conn.] :	Hartford, Connecticut
[Hartford, Ct.] :	Hartford, Connecticut
[Hartford :	Hartford, Connecticut
[Hartford? :	Hartford, Connecticut
[Hartford?] :	Hartford, Connecticut
[Hartford] :	Hartford, Connecticut
Hartford--	Hartford, Connecticut
Hartford,	Hartford, Connecticut
"Hartford,;""London,"""	Hartford, Connecticut
Hartford, :	Hartford, Connecticut
Hartford, (Connecticut) :	Hartford, Connecticut
Hartford, [Conn.]	Hartford, Connecticut
Hartford, [etc. :	Hartford, Connecticut
Hartford, Conn.	Hartford, Connecticut
Hartford:	Hartford, Connecticut
Hartford :	Hartford, Connecticut
Hartford  :	Hartford, Connecticut
Hartford: :	Hartford, Connecticut
Hartford: [Conn.] :	Hartford, Connecticut
Hartford [Conn.]:	Hartford, Connecticut
Hartford [Conn.] :	Hartford, Connecticut
Hartfordiae :	Hartford, Connecticut
Hartord :	Hartford, Connecticut
Printed at Hartford, :	Hartford, Connecticut
[Habana :	Havana, Cuba
[Havana :	Havana, Cuba
[Havana? :	Havana, Cuba
[Havana] :	Havana, Cuba
En la Havana :	Havana, Cuba
Havana :	Havana, Cuba
Havana: :	Havana, Cuba
Havana MDCCXCVI :	Havana, Cuba
Impresso en la Havana :	Havana, Cuba
Reimpresa en la Habana :	Havana, Cuba
Reimpreso en la Habana :	Havana, Cuba
[Haverhill, Mass.] :	Haverhill, Massachusetts
Haverhill, (Massachusetts) :	Haverhill, Massachusetts
Haverhill [Mass.], :	Haverhill, Massachusetts
Haverhill [Mass.] :	Haverhill, Massachusetts
Haverhill [Mass.]. :	Haverhill, Massachusetts
Printed at Haverhill, Massachusetts :	Haverhill, Massachusetts
[Haverhill, N.H.? :	Haverhill, New Hampshire
Haverhill, New-Hampshire, :	Haverhill, New Hampshire
Haverhill (N.H.) :	Haverhill, New Hampshire
Hopkinton [Mass.] :	Hopkinton, Massachusetts
Hudson :	Hudson, New Jersey
[Hudson, N.Y.] :	Hudson, New York
Hudson [N.Y.] :	Hudson, New York
Hudson [N.Y.]: :	Hudson, New York
Hull,	Hull, Massachusetts
Jamaica 	Jamaica, Jamaica
Jamaica :	Jamaica, Jamaica
[Keene, N.H.? :	Keene, New Hampshire
[Keene, N.H.]: :	Keene, New Hampshire
Keene, (State of New-Hampshire) :	Keene, New Hampshire
Keene-(Newhampshire:)	Keene, New Hampshire
Keene--(Newhampshire:) :	Keene, New Hampshire
Keene--(NewHampshire:) :	Keene, New Hampshire
Keene--(Newhampshire ) :	Keene, New Hampshire
Keene--Newhampshire :	Keene, New Hampshire
Printed at Keene--(New Hampshire,) :	Keene, New Hampshire
[Kingston,] Jamaica :	Kingston, Jamaica
Kingston, Ja.,	Kingston, Jamaica
Kingston, Jamaica:	Kingston, Jamaica
Kingston, Jamaica :	Kingston, Jamaica
Kingston :	Kingston, Jamaica
Kingston [Jamaica] :	Kingston, Jamaica
[Kingstown [Saint Vincent],	Kingstown, St. Vincent & The Grenadine
[Kingstown [Saint Vincent]?,	Kingstown, St. Vincent & The Grenadine
[Kingstown] :	Kingstown, St. Vincent & The Grenadine
[Knoxville, Tenn. :	Knoxville, Tennessee
Knoxville [Tenn.] :	Knoxville, Tennessee
[Lancaster, Pa.,	Lancaster, Pennsylvania
[Lancaster, Pa. :	Lancaster, Pennsylvania
[Lancaster, Pa.? :	Lancaster, Pennsylvania
[Lancaster, Pa.] :	Lancaster, Pennsylvania
[Lancaster] :	Lancaster, Pennsylvania
"Germantown :;""in Philadelphia, :"";""in Lancster, :"";""in Neuyork, :"""	Lancaster, Pennsylvania
"Germantown :;""in Philadelphia :"";""in Lancester :"""	Lancaster, Pennsylvania
"Germantown :;""in Philadelphia :"";""in Lancester :"";""in Neuyorck :"""	Lancaster, Pennsylvania
"Germantown :;""in Philadelphia :"";""in Lancster :"";""in Neuyorck :"""	Lancaster, Pennsylvania
Lancaster [Pa.], :	Lancaster, Pennsylvania
Lancaster [Pa.] :	Lancaster, Pennsylvania
Lancster [Pa.] :	Lancaster, Pennsylvania
Lancster [Pa.]: :	Lancaster, Pennsylvania
[Lansingburgh, N.Y.] :	Lansingburgh, New York
Lansingburgh [N.Y.] :	Lansingburgh, New York
Lansingburgh [N.Y.]: :	Lansingburgh, New York
[Leominster, Ma.?	Leominster, Massachusetts
[Leominster, Mass.]	Leominster, Massachusetts
[Leominster, Mass.] :	Leominster, Massachusetts
Leominister, Massachusetts,	Leominster, Massachusetts
Leominister, Massachusetts :	Leominster, Massachusetts
Leominister [Mass.] :	Leominster, Massachusetts
Leominster, (Mass.) :	Leominster, Massachusetts
Leominster, (Massachusetts) :	Leominster, Massachusetts
Leominster, <Massachusetts>	Leominster, Massachusetts
Leominster, Mass.,	Leominster, Massachusetts
Leominster, Mass. :	Leominster, Massachusetts
Leominster, Massachusetts, :	Leominster, Massachusetts
Leominster, Massachusetts: :	Leominster, Massachusetts
Leominster (Mass.)	Leominster, Massachusetts
Leominster [Mass.]	Leominster, Massachusetts
Leominster [Mass.] :	Leominster, Massachusetts
Printed at Leominster, (Mass.)	Leominster, Massachusetts
Printed at Leominster, (Massachusetts) :	Leominster, Massachusetts
[Les Cayes? :	Les Cayes, Haiti
Aux Cayes :	Les Cayes, Haiti
Aux Cayes [Haiti] :	Les Cayes, Haiti
[Lexington, Ky. :	Lexington, Kentucky
Lexington [Ky.] :	Lexington, Kentucky
Lexington  printed--Philadelphia: reprinted,	Lexington, Kentucky
[Con licencia en Lima :	Lima, Peru
[Cuzco? :	Lima, Peru
[Juli, Peru] :	Lima, Peru
[Lima :	Lima, Peru
[Lima :s.n., 163-?]	Lima, Peru
[Lima : s.n.],	Lima, Peru
[Lima? :	Lima, Peru
[Lima] :	Lima, Peru
[Lima] : Lo Imprimi Francisco Gomez, Pastrana, en la calle de San Agustin.,	Lima, Peru
Ao 1621. Con licencia en Lima :	Lima, Peru
Ao 1759. Con licencia en Lima :	Lima, Peru
Con licencia, en Lima :	Lima, Peru
Con licencia, impresso en Lima, :	Lima, Peru
Con licencia, impresso en Lima :	Lima, Peru
Con licencia, reimpresso en Lima :	Lima, Peru
Con licencia: en Lima :	Lima, Peru
Con licencia. En Lima :	Lima, Peru
Con licencia. Impresa en Lima :	Lima, Peru
Con licencia. Impresso en Lima :	Lima, Peru
Con licencia del ordinario: en Lima :	Lima, Peru
Con licencia del ordinario: impressa en Lima :	Lima, Peru
Con licencia del ordinario: Reimpresa en Lima :	Lima, Peru
Con licencia del ordinario. Impresso en Lima :	Lima, Peru
Con licencia de los superiores, en Lima :	Lima, Peru
Con licencia de los superiores, impresso en Lima :	Lima, Peru
Con licencia de los superiores. En Lima :	Lima, Peru
Con licencia de los superiores de Lima :	Lima, Peru
Con licencia de los superiores en Lima :	Lima, Peru
Con licencia em [sic] Lima, :	Lima, Peru
Con licencia en Lima :	Lima, Peru
Con Licencia en Lima :	Lima, Peru
Con licencia en Lima  :	Lima, Peru
Con licencia en Lima. :	Lima, Peru
Con licencia en Lima. : En la Imprenta nueva de la Calle de Iesus Maria., [1718]	Lima, Peru
Con licencia impreso en Lima :	Lima, Peru
Con licencia impresso en Lima :	Lima, Peru
Con licencia reimpresa en Lima :	Lima, Peru
Con licensia se imprimio en Madrid, ao de 1628.  Y en Lima :	Lima, Peru
Con superior permiso. En Lima :	Lima, Peru
En Gijon [i.e. Lima, Peru] :	Lima, Peru
En Gijon [i.e. Lima] :	Lima, Peru
En Lima, :	Lima, Peru
En Lima, con las licencias necessarias :	Lima, Peru
En Lima :	Lima, Peru
En Lima  :	Lima, Peru
En Lima: :	Lima, Peru
En Lima: con licencia de los superiores: :	Lima, Peru
En Lima : En la Calle del Tygre., ao de 1757.	Lima, Peru
En Lima. :	Lima, Peru
En Lima con licencia del Real Govierno :	Lima, Peru
En Lima con licencia de su excelencia, :	Lima, Peru
En Lima en la Calle del Tigre :	Lima, Peru
En Lima en la Calle de S. Ildephonso :	Lima, Peru
En los Reyes. :	Lima, Peru
En Los Reyes [i.e. Lima] :	Lima, Peru
En Los Reyes [Lima]. :	Lima, Peru
Impresa en Lima, :	Lima, Peru
Impresa en Lima :	Lima, Peru
Impresa en Lima: :	Lima, Peru
Impresa en Lima: con los debidos permisos :	Lima, Peru
Impresa en Lima. :	Lima, Peru
Impresa en Lima con las licencias necesarias :	Lima, Peru
Impresas en Lima: :	Lima, Peru
Impresas en Madrid, de orden del Rey nuestro seor. Y reimpresas en Lima con licencia del Superior Gobierno :	Lima, Peru
Impreso en Lima, :	Lima, Peru
Impreso en Lima, con licencia de su Ex[ce]lencia, :	Lima, Peru
Impreso en Lima :	Lima, Peru
Impreso  en Lima: con las licencias necesarias :	Lima, Peru
Impreso en Lima con las debidas licencias :	Lima, Peru
Impresos en Lima :	Lima, Peru
Impressa ... en esta dicha Ciudad delos Reyes [Lima] ... :	Lima, Peru
Impressa enla Ciudad de los Reyes [Lima] del Peru :	Lima, Peru
Impressa en Lima, :	Lima, Peru
Impressa en Lima, Calle de la Barranca :	Lima, Peru
Impressa en Lima, con las lice[n]cias necessarias, :	Lima, Peru
Impressa en Lima, con licencia del Superior Govierno, :	Lima, Peru
Impressa en Lima :	Lima, Peru
Impressa en Lima  :	Lima, Peru
Impressas en Lima, por mandado de su excelencia. :	Lima, Peru
Impresso ... en la Ciudad delos Reyes, :	Lima, Peru
Impresso ... en la Ciudad de los Reyes, :	Lima, Peru
Impresso con las debidas licencias en Lima :	Lima, Peru
Impresso con licencas en Lima :	Lima, Peru
Impresso con licencia del seor virrey, en Lima  :	Lima, Peru
Impresso en ... Iuli [Peru] ... :	Lima, Peru
Impresso en Cumas [i.e. Lima] : en la oficina de la Sybila, con otras obrillas mas que despues saldran,	Lima, Peru
Impresso en la casa de la Compaia de Iesus de Iuli pueblo en la Prouincia de Chucuito [Peru]. :	Lima, Peru
Impresso en la Ciudad de los Reyes, ... :	Lima, Peru
Impresso enla Ciudad de los Reyes :	Lima, Peru
Impresso en la Ciudad delos Reyes [Lima], :	Lima, Peru
Impresso en la Ciudad de los Reyes [Lima] :	Lima, Peru
Impresso en la ciudad de los Reyes [Lima]  :	Lima, Peru
Impresso en Lima, :	Lima, Peru
Impresso en Lima, ... :	Lima, Peru
Impresso en Lima, por mandado de su excelencia :	Lima, Peru
Impresso en Lima :	Lima, Peru
Impresso en Lima  :	Lima, Peru
"Impresso en Lima  :;""o de 1625."""	Lima, Peru
Impresso en Lima: :	Lima, Peru
Impresso en Lima extramuros de Santa Cathalina :	Lima, Peru
Lim¾ :	Lima, Peru
Lima,	Lima, Peru
Lima :	Lima, Peru
Lima. :	Lima, Peru
Limae, :	Lima, Peru
Limae :	Lima, Peru
Limae. :	Lima, Peru
Reimpresa: en Lima :	Lima, Peru
Reimpresa [en Lima] :	Lima, Peru
Reimpresa en Lima :	Lima, Peru
Reimpreso en Lima, :	Lima, Peru
Reimpreso en Lima :	Lima, Peru
Reimpreso en Lima : En la Oficina de los Nios Hurfanos., [1774]	Lima, Peru
Reimpreso en Lima con las licencias necesarias :	Lima, Peru
Reimpreso en Lima  diligencia de los RR.PP. missioneros apostolicos de S. Francisco :	Lima, Peru
Reimpreso en Lma [sic] :	Lima, Peru
Reimpressa en Lima :	Lima, Peru
Reimpressas en Lima ... :	Lima, Peru
Reimpresso con licencias en Lima :	Lima, Peru
Reimpresso en Lima,	Lima, Peru
Reimpresso en Lima :	Lima, Peru
Reimresa [sic] en Lima :	Lima, Peru
[Litchfield, Conn.] :	Litchfield, Connecticut
Litchfield, (Connecticut) :	Litchfield, Connecticut
Litchfield, Conn.,	Litchfield, Connecticut
Litchfield [Conn.]:	Litchfield, Connecticut
Litchfield [Conn.] :	Litchfield, Connecticut
Litchfield [Conn.]: :	Litchfield, Connecticut
Litchfield [Conn]: :	Litchfield, Connecticut
Printed at Litchfield, :	Litchfield, Connecticut
Printed at Litchfield [Conn.], :	Litchfield, Connecticut
Printed at Litchfield [Conn.] :	Litchfield, Connecticut
Re-printed at Lichfield [sic] [Conn.] :	Litchfield, Connecticut
En Loreto [Paraguay], :	Loreto, Paraguay
Superiorum permissu Laureti [Loreto] :	Loreto, Paraguay
Lynn	Lynn, Massachusetts
Lynn,	Lynn, Massachusetts
Lynn Regis	Lynn, Massachusetts
Medford [Mass.]: :	Medford, Massachusetts
Printed at Medford, (Massachusetts. :	Medford, Massachusetts
Printed at Medford, (Massachusetts.) :	Medford, Massachusetts
... en Mexico :	Mexico City, Mexico
(Con licencia de los superiores, en Mexico:) :	Mexico City, Mexico
(D. L. D. R.) Mexici :	Mexico City, Mexico
[8], 330 leaves :	Mexico City, Mexico
[En] Mexico :	Mexico City, Mexico
[Mexico  	Mexico City, Mexico
[Mexico,	Mexico City, Mexico
[Mexico :	Mexico City, Mexico
[ Mexico :	Mexico City, Mexico
[Mexico? :	Mexico City, Mexico
[Mexico]	Mexico City, Mexico
[Mexico] :	Mexico City, Mexico
[Mexico] Impreso en Madrid ao de M.DCC.LXXXIV :	Mexico City, Mexico
[Mexico] Impressa en Madrid, y por su original ... reimpressa en Mexico :	Mexico City, Mexico
[Mexico City, Mexico :	Mexico City, Mexico
[Mexico City :	Mexico City, Mexico
[Mexico City?,	Mexico City, Mexico
[Mexico City? :	Mexico City, Mexico
[Mexico City] :	Mexico City, Mexico
[Mexico City] : M. DCC. LXXVII. Mexici: ex nova typ. matritensi apud D. Philippum de Zuiga & Ontiveros, in via Palmae,	Mexico City, Mexico
[Mxico,	Mexico City, Mexico
[Mxico :	Mexico City, Mexico
[Mxico :Imprenta de el Superior Gobierno, de el Br. D. Joseph Antonio de Hogal?,	Mexico City, Mexico
[Mxico] :	Mexico City, Mexico
[Mxico] :Hogal,	Mexico City, Mexico
[Tenuchtiltlan, Mexico,	Mexico City, Mexico
Ampliss. Rect. Facult. Mexici :	Mexico City, Mexico
Anno 1675. Mexici, :	Mexico City, Mexico
Con las licencias mecesarias: en Mexico :	Mexico City, Mexico
Con las licencias necasarias impreso en Mxico :	Mexico City, Mexico
Con las licencias necesarias. En Mexico :	Mexico City, Mexico
Con las licencias necesarias impreso en Mxico :	Mexico City, Mexico
Con las licencias necessarias, impresso en Mexico :	Mexico City, Mexico
Con las licencias necessarias: impresso, en Mexico :	Mexico City, Mexico
Con las licencias necessarias. Impresso en Mexico :	Mexico City, Mexico
Con las licencias necessarias impresso en Mexico :	Mexico City, Mexico
Con licenca: en Mexico :	Mexico City, Mexico
Con licencia, en Mexico, :	Mexico City, Mexico
Con licencia, en Mexico :	Mexico City, Mexico
Con licencia, y privilegio. En Mexico :	Mexico City, Mexico
Con licencia, y privilegio en Mexico :	Mexico City, Mexico
Con licencia: en Mexico :	Mexico City, Mexico
Con licencia: impresso en Mexico :	Mexico City, Mexico
Con licencia. En Mexico :	Mexico City, Mexico
Con licencia de el Excmo. seor vi-rey, en Mexico :	Mexico City, Mexico
Con licencia de el superior govierno. En Mexico :	Mexico City, Mexico
Con licencia de el superior govierno. En Mxico :	Mexico City, Mexico
Con licencia de los superiores, en Mexico :	Mexico City, Mexico
Con licencia de los superiores, impreso en Mxico :	Mexico City, Mexico
Con licencia de los superiores, impresso en Mexico :	Mexico City, Mexico
Con licencia de los superiores: en Mexico :	Mexico City, Mexico
Con licencia de los superiores: en Mxico :	Mexico City, Mexico
Con licencia de los superiores. En Mexico :	Mexico City, Mexico
Con licencia de los superiores. Impressa en Mexico :	Mexico City, Mexico
Con licencia de los superiores. Impresso en Mexico :	Mexico City, Mexico
Con licencia de los superiores en Mexico :	Mexico City, Mexico
Con licencia en Mexico, :	Mexico City, Mexico
Con licencia en Mexico :	Mexico City, Mexico
Con licencia en Mexico: :	Mexico City, Mexico
Con licencia en Mexico.:	Mexico City, Mexico
Con licencia en Mxico :	Mexico City, Mexico
Con todas las licencias de los superiores. En Mexico :	Mexico City, Mexico
Cum gratia, et pri[vi]legio Mexici :	Mexico City, Mexico
De orden de su Exc. Impresas en Mxico : Por D. Felipe de Ziga y Ontiveros, calle de la Palma., [1781]	Mexico City, Mexico
En dicha ciudad [de Mexico] :	Mexico City, Mexico
En Lima. Y por su original en Mexico, con las licencias necessarias :	Mexico City, Mexico
En Madrid, Por Juan Garcia Infanzon, ao de 1711. Y por su original reimpresso en Mexico, con licencia :	Mexico City, Mexico
En Megico :	Mexico City, Mexico
En Mexco :	Mexico City, Mexico
En Mexico,	Mexico City, Mexico
En Mexico,:	Mexico City, Mexico
En Mexico, :	Mexico City, Mexico
En Mexico, con licencia :	Mexico City, Mexico
En Mexico:	Mexico City, Mexico
En Mexico :	Mexico City, Mexico
En Mexico  :	Mexico City, Mexico
En Mexico: :	Mexico City, Mexico
En  Mexico: :	Mexico City, Mexico
En Mexico.:	Mexico City, Mexico
En Mexico. :	Mexico City, Mexico
En Mexico [con las licencias necessarias] :	Mexico City, Mexico
En Mxico, :	Mexico City, Mexico
En Mxico, Ao de M. DCC. XC. :	Mexico City, Mexico
En Mxico :	Mexico City, Mexico
En Mxico: :	Mexico City, Mexico
En Sanctiago Tlatilulco :	Mexico City, Mexico
Excudebat Mexici :	Mexico City, Mexico
Excussum opus Mexici :	Mexico City, Mexico
Fue imp[re]ssa e[n] esta muy leal ciudad d[e] Mexico :	Mexico City, Mexico
Fue impressa e[n] la ciudad de Mexico :	Mexico City, Mexico
Imp[re]ssa e[n] la misma ciudad d[e] Mexico :	Mexico City, Mexico
Imp[re]ssa e[n] Mexico :	Mexico City, Mexico
Impesso en Mxico :	Mexico City, Mexico
Impresa en Mexico, :	Mexico City, Mexico
Impresa en Mexico :	Mexico City, Mexico
Impresa en Mxico :	Mexico City, Mexico
Impresa en Mxico con licencia del Sr. Provisor :	Mexico City, Mexico
Impresas en Mexico :	Mexico City, Mexico
Impresas en Mxico, :	Mexico City, Mexico
Impresas en Mxico :	Mexico City, Mexico
